time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1230.3,1323.1,1326.0,1193.1,1226.9,-3.4,20322000,14981000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1237.2,1218.0,1248.0,1193.8,1241.3,4.1,20674000,7714000,0.0,0.0,1.73,1.73,352,14.4
1770112800,1343,1320.0,1364.6,1317.1,1340.3,-2.7,19147000,11659000,0.0,0.0,-7.39,-7.39,-1527,99.0
1770199200,1366.3,1348.0,1375.0,1327.2,1370.2,3.9,18515000,6431000,0.0,0.0,-3.3,-3.3,-632,29.9
1770285600,1363.3,1372.0,1372.0,1342.0,1364.8,1.5,18645000,3421000,0.0,0.0,0.7,0.7,130,-5.4
1770372000,1331.4,1362.0,1362.0,1314.1,1333.3,1.9,18959000,4351000,0.0,0.0,1.68,1.68,314,-31.5
1770631200,1374.3,1346.0,1382.3,1344.7,1378.7,4.4,18573000,3928000,0.0,0.0,-2.04,-2.04,-386,45.4
1770717600,1400.9,1385.0,1414.4,1382.9,1401.1,0.2,20034000,7170000,0.0,0.0,7.87,7.87,1461,22.4
1770804000,1397.2,1404.8,1409.3,1384.1,1398.9,1.7,20154000,2994000,0.0,0.0,0.6,0.6,120,-2.2
1770890400,1370.2,1389.0,1389.0,1368.3,1372.1,1.9,20111000,2572000,0.0,0.0,-0.21,-0.21,-43,-26.8
1770976800,1335.3,1360.0,1361.1,1318.8,1333.5,-1.8,20669000,4303000,0.0,0.0,2.77,2.77,558,-38.6
1771236000,1353.7,1281.1,1365.5,1281.1,1356.4,2.7,19891000,4245000,0.0,0.0,-3.76,-3.76,-778,22.9
1771322400,1339.4,1353.9,1356.5,1336.3,1342.9,3.5,20031000,2061000,0.0,0.0,0.7,0.7,140,-13.5
1771408800,1355.7,1349.9,1362.0,1336.5,1360.0,4.3,18651000,4793000,0.0,0.0,-6.89,-6.89,-1380,17.1
1771495200,1320.3,1362.9,1368.0,1313.1,1319.4,-0.9,13811000,7781000,0.0,0.0,-25.95,-25.95,-4840,-40.6
1771581600,1320.4,1323.6,1334.2,1317.6,1321.2,0.8,9345000,8312000,0.0,0.0,-32.34,-32.34,-4466,1.8
